State,State Abbreviation,Population density,Population 2018,Square Miles
Alabama,AL,93.24,4887871,52420
Alaska,AK,1.11,737438,665384
Arizona,AZ,62.91,7171646,113990
Arkansas,AR,56.67,3013825,53179
California,CA,241.65,39557045,163695
Colorado,CO,54.72,5695564,104094
Connecticut,CT,644.54,3572665,5543
Delaware,DE,388.58,967171,2489
District of Columbia,DC,11496.81,702455,61.1
Florida,FL,323.9,21299325,65758
Georgia,GA,177.02,10519475,59425
Hawaii,HI,129.94,1420491,10932
Idaho,ID,20.99,1754208,83569
Illinois,IL,220,12741080,57914
Indiana,IN,183.74,6691878,36420
Iowa,IA,56.09,3156145,56273
Kansas,KS,35.39,2911505,82278
Kentucky,KY,110.58,4468402,40408
Louisiana,LA,88.97,4659978,52378
Maine,ME,37.83,1338404,35380
Maryland,MD,487.08,6042718,12406
Massachusetts,MA,653.98,6902149,10554
Michigan,MI,103.36,9995915,96714
Minnesota,MN,64.54,5611179,86936
Mississippi,MS,61.66,2986530,48432
Missouri,MO,87.89,6126452,69707
Montana,MT,7.22,1062305,147040
Nebraska,NE,24.94,1929268,77348
Nevada,NV,27.44,3034392,110572
New Hampshire,NH,145.09,1356458,9349
New Jersey,NJ,1021.27,8908520,8723
New Mexico,NM,17.23,2095428,121590
New York,NY,358.21,19542209,54555
North Carolina,NC,192.94,10383620,53819
North Dakota,ND,10.75,760077,70698
Ohio,OH,260.77,11689442,44826
Oklahoma,OK,56.41,3943079,69899
Oregon,OR,42.6,4190713,98379
Pennsylvania,PA,278.09,12807060,46054
Rhode Island,RI,684.35,1057315,1545
South Carolina,SC,158.78,5084127,32020
South Dakota,SD,11.44,882235,77116
Tennessee,TN,160.64,6770010,42144
Texas,TX,106.86,28701845,268596
Utah,UT,37.23,3161105,84897
Vermont,VT,65.13,626299,9616
Virginia,VA,199.13,8517685,42775
Washington,WA,105.69,7535591,71298
West Virginia,WV,74.53,1805832,24230
Wisconsin,WI,88.76,5813568,65496
Wyoming,WY,5.91,577737,97813